EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,13804733603464758206,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,712,12,2023-03-30 21:19:48.903454608,2023-03-30 21:19:48.903454608,2023-03-30 21:19:48.903454608,2023-03-30 21:19:48.903454608,2023-03-30 21:19:50.423724970,2023-03-30 21:19:50.423724970,2023-03-30 21:19:50.423724970,2023-03-30 21:19:50.423724970,0,0,5,4,6,464,8,2023-03-30 21:19:48.903454608,2023-03-30 21:19:48.903454608,2023-03-30 21:19:48.903454608,2023-03-30 21:19:48.903454608,2023-03-30 21:19:50.423724970,2023-03-30 21:19:50.423724970,2023-03-30 21:19:50.423724970,2023-03-30 21:19:50.423724970,248,4,2023-03-30 21:19:48.904245501,2023-03-30 21:19:48.904245501,2023-03-30 21:19:48.904245501,2023-03-30 21:19:48.904245501,2023-03-30 21:19:50.423723614,2023-03-30 21:19:50.423723614,2023-03-30 21:19:50.423723614,2023-03-30 21:19:50.423723614,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
1, 0,1,13804733603464758206,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,712,12,2023-03-30 21:20:03.096009145,2023-03-30 21:20:03.096009145,2023-03-30 21:20:03.096009145,2023-03-30 21:20:03.096009145,2023-03-30 21:20:04.616433869,2023-03-30 21:20:04.616433869,2023-03-30 21:20:04.616433869,2023-03-30 21:20:04.616433869,0,0,5,4,6,464,8,2023-03-30 21:20:03.096009145,2023-03-30 21:20:03.096009145,2023-03-30 21:20:03.096009145,2023-03-30 21:20:03.096009145,2023-03-30 21:20:04.616433869,2023-03-30 21:20:04.616433869,2023-03-30 21:20:04.616433869,2023-03-30 21:20:04.616433869,248,4,2023-03-30 21:20:03.096899001,2023-03-30 21:20:03.096899001,2023-03-30 21:20:03.096899001,2023-03-30 21:20:03.096899001,2023-03-30 21:20:04.616432529,2023-03-30 21:20:04.616432529,2023-03-30 21:20:04.616432529,2023-03-30 21:20:04.616432529,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
2, 0,1,13804733603464758206,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,712,12,2023-03-30 21:20:17.287696306,2023-03-30 21:20:17.287696306,2023-03-30 21:20:17.287696306,2023-03-30 21:20:17.287696306,2023-03-30 21:20:18.808128452,2023-03-30 21:20:18.808128452,2023-03-30 21:20:18.808128452,2023-03-30 21:20:18.808128452,0,0,5,4,6,464,8,2023-03-30 21:20:17.287696306,2023-03-30 21:20:17.287696306,2023-03-30 21:20:17.287696306,2023-03-30 21:20:17.287696306,2023-03-30 21:20:18.808128452,2023-03-30 21:20:18.808128452,2023-03-30 21:20:18.808128452,2023-03-30 21:20:18.808128452,248,4,2023-03-30 21:20:17.288550733,2023-03-30 21:20:17.288550733,2023-03-30 21:20:17.288550733,2023-03-30 21:20:17.288550733,2023-03-30 21:20:18.808126951,2023-03-30 21:20:18.808126951,2023-03-30 21:20:18.808126951,2023-03-30 21:20:18.808126951,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
3, 0,1,13804733603464758206,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,712,12,2023-03-30 21:20:31.477776293,2023-03-30 21:20:31.477776293,2023-03-30 21:20:31.477776293,2023-03-30 21:20:31.477776293,2023-03-30 21:20:33.001266146,2023-03-30 21:20:33.001266146,2023-03-30 21:20:33.001266146,2023-03-30 21:20:33.001266146,0,0,5,4,6,464,8,2023-03-30 21:20:31.477776293,2023-03-30 21:20:31.477776293,2023-03-30 21:20:31.477776293,2023-03-30 21:20:31.477776293,2023-03-30 21:20:33.001266146,2023-03-30 21:20:33.001266146,2023-03-30 21:20:33.001266146,2023-03-30 21:20:33.001266146,248,4,2023-03-30 21:20:31.478717874,2023-03-30 21:20:31.478717874,2023-03-30 21:20:31.478717874,2023-03-30 21:20:31.478717874,2023-03-30 21:20:33.001184710,2023-03-30 21:20:33.001184710,2023-03-30 21:20:33.001184710,2023-03-30 21:20:33.001184710,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
4, 0,1,17732036128857544588,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,137,1,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,0,0,5,4,17,137,1,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,2023-03-30 21:20:31.823585147,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
5, 0,1,10818837308906651424,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,27200,442,2023-03-30 21:19:43.275563577,2023-03-30 21:19:43.275563577,2023-03-30 21:19:43.275563577,2023-03-30 21:19:43.275563577,2023-03-30 21:20:42.098234593,2023-03-30 21:20:42.098234593,2023-03-30 21:20:42.098234593,2023-03-30 21:20:42.098234593,0,0,4,4,6,15944,266,2023-03-30 21:19:43.275563577,2023-03-30 21:19:43.275563577,2023-03-30 21:19:43.275563577,2023-03-30 21:19:43.275563577,2023-03-30 21:20:42.098234593,2023-03-30 21:20:42.098234593,2023-03-30 21:20:42.098234593,2023-03-30 21:20:42.098234593,11256,176,2023-03-30 21:19:43.280373033,2023-03-30 21:19:43.280373033,2023-03-30 21:19:43.280373033,2023-03-30 21:19:43.280373033,2023-03-30 21:20:42.056707756,2023-03-30 21:20:42.056707756,2023-03-30 21:20:42.056707756,2023-03-30 21:20:42.056707756,192.168.88.200,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,57380,502,NIL,769,0,0,1,4,173,NIL,NIL,NIL,176,NIL
6, 0,1,11768789151576669133,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,4592,14,2023-03-30 21:19:43.492351874,2023-03-30 21:19:43.492351874,2023-03-30 21:19:43.492351874,2023-03-30 21:19:43.492351874,2023-03-30 21:20:39.201421923,2023-03-30 21:20:39.201421923,2023-03-30 21:20:39.201421923,2023-03-30 21:20:39.201421923,0,0,4,4,17,4592,14,2023-03-30 21:19:43.492351874,2023-03-30 21:19:43.492351874,2023-03-30 21:19:43.492351874,2023-03-30 21:19:43.492351874,2023-03-30 21:20:39.201421923,2023-03-30 21:20:39.201421923,2023-03-30 21:20:39.201421923,2023-03-30 21:20:39.201421923,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
7, 0,1,17172376606672867399,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,21696,351,2023-03-30 21:19:46.290321053,2023-03-30 21:19:46.290321053,2023-03-30 21:19:46.290321053,2023-03-30 21:19:46.290321053,2023-03-30 21:20:46.226180351,2023-03-30 21:20:46.226180351,2023-03-30 21:20:46.226180351,2023-03-30 21:20:46.226180351,0,0,4,4,6,12608,209,2023-03-30 21:19:46.290321053,2023-03-30 21:19:46.290321053,2023-03-30 21:19:46.290321053,2023-03-30 21:19:46.290321053,2023-03-30 21:20:46.226180351,2023-03-30 21:20:46.226180351,2023-03-30 21:20:46.226180351,2023-03-30 21:20:46.226180351,9088,142,2023-03-30 21:19:46.291146001,2023-03-30 21:19:46.291146001,2023-03-30 21:19:46.291146001,2023-03-30 21:19:46.291146001,2023-03-30 21:20:46.183194708,2023-03-30 21:20:46.183194708,2023-03-30 21:20:46.183194708,2023-03-30 21:20:46.183194708,192.168.88.200,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,51212,502,NIL,769,0,0,1,NIL,143,NIL,NIL,NIL,142,NIL
8, 0,1,13804733603464758206,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,712,12,2023-03-30 21:20:45.671835576,2023-03-30 21:20:45.671835576,2023-03-30 21:20:45.671835576,2023-03-30 21:20:45.671835576,2023-03-30 21:20:47.193032132,2023-03-30 21:20:47.193032132,2023-03-30 21:20:47.193032132,2023-03-30 21:20:47.193032132,0,0,5,4,6,464,8,2023-03-30 21:20:45.671835576,2023-03-30 21:20:45.671835576,2023-03-30 21:20:45.671835576,2023-03-30 21:20:45.671835576,2023-03-30 21:20:47.193032132,2023-03-30 21:20:47.193032132,2023-03-30 21:20:47.193032132,2023-03-30 21:20:47.193032132,248,4,2023-03-30 21:20:45.672660706,2023-03-30 21:20:45.672660706,2023-03-30 21:20:45.672660706,2023-03-30 21:20:45.672660706,2023-03-30 21:20:47.193030519,2023-03-30 21:20:47.193030519,2023-03-30 21:20:47.193030519,2023-03-30 21:20:47.193030519,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
9, 0,1,13804733603464758206,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,2023-03-30 21:19:42.958704991,712,12,2023-03-30 21:20:59.861384943,2023-03-30 21:20:59.861384943,2023-03-30 21:20:59.861384943,2023-03-30 21:20:59.861384943,2023-03-30 21:21:01.382762569,2023-03-30 21:21:01.382762569,2023-03-30 21:21:01.382762569,2023-03-30 21:21:01.382762569,0,0,5,4,6,464,8,2023-03-30 21:20:59.861384943,2023-03-30 21:20:59.861384943,2023-03-30 21:20:59.861384943,2023-03-30 21:20:59.861384943,2023-03-30 21:21:01.382762569,2023-03-30 21:21:01.382762569,2023-03-30 21:21:01.382762569,2023-03-30 21:21:01.382762569,248,4,2023-03-30 21:20:59.862285714,2023-03-30 21:20:59.862285714,2023-03-30 21:20:59.862285714,2023-03-30 21:20:59.862285714,2023-03-30 21:21:01.382760813,2023-03-30 21:21:01.382760813,2023-03-30 21:21:01.382760813,2023-03-30 21:21:01.382760813,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
