EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,13804733603464758206,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,712,12,2023-03-30 21:19:55.179898888,2023-03-30 21:19:55.179898888,2023-03-30 21:19:55.179898888,2023-03-30 21:19:55.179898888,2023-03-30 21:19:56.702456592,2023-03-30 21:19:56.702456592,2023-03-30 21:19:56.702456592,2023-03-30 21:19:56.702456592,0,0,5,4,6,464,8,2023-03-30 21:19:55.179898888,2023-03-30 21:19:55.179898888,2023-03-30 21:19:55.179898888,2023-03-30 21:19:55.179898888,2023-03-30 21:19:56.702456592,2023-03-30 21:19:56.702456592,2023-03-30 21:19:56.702456592,2023-03-30 21:19:56.702456592,248,4,2023-03-30 21:19:55.180764153,2023-03-30 21:19:55.180764153,2023-03-30 21:19:55.180764153,2023-03-30 21:19:55.180764153,2023-03-30 21:19:56.702350952,2023-03-30 21:19:56.702350952,2023-03-30 21:19:56.702350952,2023-03-30 21:19:56.702350952,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
1, 0,1,13804733603464758206,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,712,12,2023-03-30 21:20:09.375142380,2023-03-30 21:20:09.375142380,2023-03-30 21:20:09.375142380,2023-03-30 21:20:09.375142380,2023-03-30 21:20:10.895344762,2023-03-30 21:20:10.895344762,2023-03-30 21:20:10.895344762,2023-03-30 21:20:10.895344762,0,0,5,4,6,464,8,2023-03-30 21:20:09.375142380,2023-03-30 21:20:09.375142380,2023-03-30 21:20:09.375142380,2023-03-30 21:20:09.375142380,2023-03-30 21:20:10.895344762,2023-03-30 21:20:10.895344762,2023-03-30 21:20:10.895344762,2023-03-30 21:20:10.895344762,248,4,2023-03-30 21:20:09.376041994,2023-03-30 21:20:09.376041994,2023-03-30 21:20:09.376041994,2023-03-30 21:20:09.376041994,2023-03-30 21:20:10.895342617,2023-03-30 21:20:10.895342617,2023-03-30 21:20:10.895342617,2023-03-30 21:20:10.895342617,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
2, 0,1,13804733603464758206,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,712,12,2023-03-30 21:20:23.572149553,2023-03-30 21:20:23.572149553,2023-03-30 21:20:23.572149553,2023-03-30 21:20:23.572149553,2023-03-30 21:20:25.096324574,2023-03-30 21:20:25.096324574,2023-03-30 21:20:25.096324574,2023-03-30 21:20:25.096324574,0,0,5,4,6,464,8,2023-03-30 21:20:23.572149553,2023-03-30 21:20:23.572149553,2023-03-30 21:20:23.572149553,2023-03-30 21:20:23.572149553,2023-03-30 21:20:25.096324574,2023-03-30 21:20:25.096324574,2023-03-30 21:20:25.096324574,2023-03-30 21:20:25.096324574,248,4,2023-03-30 21:20:23.573077787,2023-03-30 21:20:23.573077787,2023-03-30 21:20:23.573077787,2023-03-30 21:20:23.573077787,2023-03-30 21:20:25.096323081,2023-03-30 21:20:25.096323081,2023-03-30 21:20:25.096323081,2023-03-30 21:20:25.096323081,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
3, 0,1,17732036128857544588,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,137,1,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,0,0,5,4,17,137,1,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,2023-03-30 21:20:32.316541766,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
4, 0,1,10818837308906651424,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,27816,452,2023-03-30 21:19:44.515434023,2023-03-30 21:19:44.515434023,2023-03-30 21:19:44.515434023,2023-03-30 21:19:44.515434023,2023-03-30 21:20:43.879941576,2023-03-30 21:20:43.879941576,2023-03-30 21:20:43.879941576,2023-03-30 21:20:43.879941576,0,0,4,4,6,16304,272,2023-03-30 21:19:44.515434023,2023-03-30 21:19:44.515434023,2023-03-30 21:19:44.515434023,2023-03-30 21:19:44.515434023,2023-03-30 21:20:43.879941576,2023-03-30 21:20:43.879941576,2023-03-30 21:20:43.879941576,2023-03-30 21:20:43.879941576,11512,180,2023-03-30 21:19:44.516457657,2023-03-30 21:19:44.516457657,2023-03-30 21:19:44.516457657,2023-03-30 21:19:44.516457657,2023-03-30 21:20:43.838836649,2023-03-30 21:20:43.838836649,2023-03-30 21:20:43.838836649,2023-03-30 21:20:43.838836649,192.168.88.200,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,57380,502,NIL,769,0,0,1,4,177,NIL,NIL,NIL,180,NIL
5, 0,1,11768789151576669133,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,5576,17,2023-03-30 21:19:43.322118515,2023-03-30 21:19:43.322118515,2023-03-30 21:19:43.322118515,2023-03-30 21:19:43.322118515,2023-03-30 21:20:39.974005909,2023-03-30 21:20:39.974005909,2023-03-30 21:20:39.974005909,2023-03-30 21:20:39.974005909,0,0,4,4,17,5576,17,2023-03-30 21:19:43.322118515,2023-03-30 21:19:43.322118515,2023-03-30 21:19:43.322118515,2023-03-30 21:19:43.322118515,2023-03-30 21:20:39.974005909,2023-03-30 21:20:39.974005909,2023-03-30 21:20:39.974005909,2023-03-30 21:20:39.974005909,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
6, 0,1,13804733603464758206,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,712,12,2023-03-30 21:20:37.777548465,2023-03-30 21:20:37.777548465,2023-03-30 21:20:37.777548465,2023-03-30 21:20:37.777548465,2023-03-30 21:20:39.301345416,2023-03-30 21:20:39.301345416,2023-03-30 21:20:39.301345416,2023-03-30 21:20:39.301345416,0,0,5,4,6,464,8,2023-03-30 21:20:37.777548465,2023-03-30 21:20:37.777548465,2023-03-30 21:20:37.777548465,2023-03-30 21:20:37.777548465,2023-03-30 21:20:39.301345416,2023-03-30 21:20:39.301345416,2023-03-30 21:20:39.301345416,2023-03-30 21:20:39.301345416,248,4,2023-03-30 21:20:37.778476721,2023-03-30 21:20:37.778476721,2023-03-30 21:20:37.778476721,2023-03-30 21:20:37.778476721,2023-03-30 21:20:39.301343987,2023-03-30 21:20:39.301343987,2023-03-30 21:20:39.301343987,2023-03-30 21:20:39.301343987,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
7, 0,1,17172376606672867399,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,20768,336,2023-03-30 21:19:43.504167897,2023-03-30 21:19:43.504167897,2023-03-30 21:19:43.504167897,2023-03-30 21:19:43.504167897,2023-03-30 21:20:40.859939676,2023-03-30 21:20:40.859939676,2023-03-30 21:20:40.859939676,2023-03-30 21:20:40.859939676,0,0,4,4,6,12064,200,2023-03-30 21:19:43.504167897,2023-03-30 21:19:43.504167897,2023-03-30 21:19:43.504167897,2023-03-30 21:19:43.504167897,2023-03-30 21:20:40.859939676,2023-03-30 21:20:40.859939676,2023-03-30 21:20:40.859939676,2023-03-30 21:20:40.859939676,8704,136,2023-03-30 21:19:43.505149382,2023-03-30 21:19:43.505149382,2023-03-30 21:19:43.505149382,2023-03-30 21:19:43.505149382,2023-03-30 21:20:40.817513980,2023-03-30 21:20:40.817513980,2023-03-30 21:20:40.817513980,2023-03-30 21:20:40.817513980,192.168.88.200,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,51212,502,NIL,769,0,0,1,NIL,137,NIL,NIL,NIL,136,NIL
8, 0,1,13804733603464758206,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,534,9,2023-03-30 21:20:51.981263129,2023-03-30 21:20:51.981263129,2023-03-30 21:20:51.981263129,2023-03-30 21:20:51.981263129,2023-03-30 21:20:52.998462015,2023-03-30 21:20:52.998462015,2023-03-30 21:20:52.998462015,2023-03-30 21:20:52.998462015,0,0,5,4,6,348,6,2023-03-30 21:20:51.981263129,2023-03-30 21:20:51.981263129,2023-03-30 21:20:51.981263129,2023-03-30 21:20:51.981263129,2023-03-30 21:20:52.998462015,2023-03-30 21:20:52.998462015,2023-03-30 21:20:52.998462015,2023-03-30 21:20:52.998462015,186,3,2023-03-30 21:20:51.982283098,2023-03-30 21:20:51.982283098,2023-03-30 21:20:51.982283098,2023-03-30 21:20:51.982283098,2023-03-30 21:20:52.998383003,2023-03-30 21:20:52.998383003,2023-03-30 21:20:52.998383003,2023-03-30 21:20:52.998383003,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,3,NIL,NIL,NIL,NIL,3,NIL
9, 0,1,13804733603464758206,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,712,12,2023-03-30 21:21:05.672007539,2023-03-30 21:21:05.672007539,2023-03-30 21:21:05.672007539,2023-03-30 21:21:05.672007539,2023-03-30 21:21:07.192662858,2023-03-30 21:21:07.192662858,2023-03-30 21:21:07.192662858,2023-03-30 21:21:07.192662858,0,0,5,4,6,464,8,2023-03-30 21:21:05.672007539,2023-03-30 21:21:05.672007539,2023-03-30 21:21:05.672007539,2023-03-30 21:21:05.672007539,2023-03-30 21:21:07.192662858,2023-03-30 21:21:07.192662858,2023-03-30 21:21:07.192662858,2023-03-30 21:21:07.192662858,248,4,2023-03-30 21:21:05.672892218,2023-03-30 21:21:05.672892218,2023-03-30 21:21:05.672892218,2023-03-30 21:21:05.672892218,2023-03-30 21:21:07.192661406,2023-03-30 21:21:07.192661406,2023-03-30 21:21:07.192661406,2023-03-30 21:21:07.192661406,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
10, 0,1,13804733603464758206,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,2023-03-30 21:19:42.906614550,712,12,2023-03-30 21:21:19.865351850,2023-03-30 21:21:19.865351850,2023-03-30 21:21:19.865351850,2023-03-30 21:21:19.865351850,2023-03-30 21:21:21.384767993,2023-03-30 21:21:21.384767993,2023-03-30 21:21:21.384767993,2023-03-30 21:21:21.384767993,0,0,5,4,6,464,8,2023-03-30 21:21:19.865351850,2023-03-30 21:21:19.865351850,2023-03-30 21:21:19.865351850,2023-03-30 21:21:19.865351850,2023-03-30 21:21:21.384767993,2023-03-30 21:21:21.384767993,2023-03-30 21:21:21.384767993,2023-03-30 21:21:21.384767993,248,4,2023-03-30 21:21:19.866269540,2023-03-30 21:21:19.866269540,2023-03-30 21:21:19.866269540,2023-03-30 21:21:19.866269540,2023-03-30 21:21:21.384766655,2023-03-30 21:21:21.384766655,2023-03-30 21:21:21.384766655,2023-03-30 21:21:21.384766655,192.168.88.200,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,55182,502,NIL,769,0,0,1,4,NIL,NIL,NIL,NIL,4,NIL
