EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,18136790995709112452,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,1232,20,2023-03-30 21:19:52.097600804,2023-03-30 21:19:52.097600804,2023-03-30 21:19:52.097600804,2023-03-30 21:19:52.097600804,2023-03-30 21:19:52.196696707,2023-03-30 21:19:52.196696707,2023-03-30 21:19:52.196696707,2023-03-30 21:19:52.196696707,0,0,5,4,6,720,12,2023-03-30 21:19:52.097600804,2023-03-30 21:19:52.097600804,2023-03-30 21:19:52.097600804,2023-03-30 21:19:52.097600804,2023-03-30 21:19:52.196696707,2023-03-30 21:19:52.196696707,2023-03-30 21:19:52.196696707,2023-03-30 21:19:52.196696707,512,8,2023-03-30 21:19:52.098479583,2023-03-30 21:19:52.098479583,2023-03-30 21:19:52.098479583,2023-03-30 21:19:52.098479583,2023-03-30 21:19:52.153792557,2023-03-30 21:19:52.153792557,2023-03-30 21:19:52.153792557,2023-03-30 21:19:52.153792557,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,39428,502,NIL,769,0,0,1,NIL,8,NIL,NIL,NIL,8,NIL
1, 0,1,17732036128857544588,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,137,1,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,0,0,5,4,17,137,1,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,2023-03-30 21:20:13.951162049,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
2, 0,1,18136790995709112452,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2872,46,2023-03-30 21:20:02.278875359,2023-03-30 21:20:02.278875359,2023-03-30 21:20:02.278875359,2023-03-30 21:20:02.278875359,2023-03-30 21:20:12.632738852,2023-03-30 21:20:12.632738852,2023-03-30 21:20:12.632738852,2023-03-30 21:20:12.632738852,0,0,5,4,6,1592,26,2023-03-30 21:20:02.278875359,2023-03-30 21:20:02.278875359,2023-03-30 21:20:02.278875359,2023-03-30 21:20:02.278875359,2023-03-30 21:20:12.632738852,2023-03-30 21:20:12.632738852,2023-03-30 21:20:12.632738852,2023-03-30 21:20:12.632738852,1280,20,2023-03-30 21:20:02.279766782,2023-03-30 21:20:02.279766782,2023-03-30 21:20:02.279766782,2023-03-30 21:20:02.279766782,2023-03-30 21:20:12.587067407,2023-03-30 21:20:12.587067407,2023-03-30 21:20:12.587067407,2023-03-30 21:20:12.587067407,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,39428,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
3, 0,1,15846425506523960898,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,33622,541,2023-03-30 21:20:19.698343887,2023-03-30 21:20:19.698343887,2023-03-30 21:20:19.698343887,2023-03-30 21:20:19.698343887,2023-03-30 21:20:24.464585128,2023-03-30 21:20:24.464585128,2023-03-30 21:20:24.464585128,2023-03-30 21:20:24.464585128,0,0,5,4,6,19222,316,2023-03-30 21:20:19.698343887,2023-03-30 21:20:19.698343887,2023-03-30 21:20:19.698343887,2023-03-30 21:20:19.698343887,2023-03-30 21:20:24.464585128,2023-03-30 21:20:24.464585128,2023-03-30 21:20:24.464585128,2023-03-30 21:20:24.464585128,14400,225,2023-03-30 21:20:19.699216941,2023-03-30 21:20:19.699216941,2023-03-30 21:20:19.699216941,2023-03-30 21:20:19.699216941,2023-03-30 21:20:24.464382781,2023-03-30 21:20:24.464382781,2023-03-30 21:20:24.464382781,2023-03-30 21:20:24.464382781,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,45346,502,NIL,769,0,0,1,NIL,225,NIL,NIL,NIL,225,NIL
4, 0,1,11768789151576669133,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,6232,19,2023-03-30 21:19:43.185512217,2023-03-30 21:19:43.185512217,2023-03-30 21:19:43.185512217,2023-03-30 21:19:43.185512217,2023-03-30 21:20:41.414432189,2023-03-30 21:20:41.414432189,2023-03-30 21:20:41.414432189,2023-03-30 21:20:41.414432189,0,0,4,4,17,6232,19,2023-03-30 21:19:43.185512217,2023-03-30 21:19:43.185512217,2023-03-30 21:19:43.185512217,2023-03-30 21:19:43.185512217,2023-03-30 21:20:41.414432189,2023-03-30 21:20:41.414432189,2023-03-30 21:20:41.414432189,2023-03-30 21:20:41.414432189,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
5, 0,1,11980760398780474707,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,11088,180,2023-03-30 21:19:48.870555219,2023-03-30 21:19:48.870555219,2023-03-30 21:19:48.870555219,2023-03-30 21:19:48.870555219,2023-03-30 21:20:37.896835757,2023-03-30 21:20:37.896835757,2023-03-30 21:20:37.896835757,2023-03-30 21:20:37.896835757,0,0,5,4,6,6480,108,2023-03-30 21:19:48.870555219,2023-03-30 21:19:48.870555219,2023-03-30 21:19:48.870555219,2023-03-30 21:19:48.870555219,2023-03-30 21:20:37.896835757,2023-03-30 21:20:37.896835757,2023-03-30 21:20:37.896835757,2023-03-30 21:20:37.896835757,4608,72,2023-03-30 21:19:48.871561436,2023-03-30 21:19:48.871561436,2023-03-30 21:19:48.871561436,2023-03-30 21:19:48.871561436,2023-03-30 21:20:37.849903860,2023-03-30 21:20:37.849903860,2023-03-30 21:20:37.849903860,2023-03-30 21:20:37.849903860,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,37776,502,NIL,769,0,0,1,NIL,72,NIL,NIL,NIL,72,NIL
6, 0,1,18136790995709112452,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2872,46,2023-03-30 21:20:27.485366688,2023-03-30 21:20:27.485366688,2023-03-30 21:20:27.485366688,2023-03-30 21:20:27.485366688,2023-03-30 21:20:37.840829049,2023-03-30 21:20:37.840829049,2023-03-30 21:20:37.840829049,2023-03-30 21:20:37.840829049,0,0,5,4,6,1592,26,2023-03-30 21:20:27.485366688,2023-03-30 21:20:27.485366688,2023-03-30 21:20:27.485366688,2023-03-30 21:20:27.485366688,2023-03-30 21:20:37.840829049,2023-03-30 21:20:37.840829049,2023-03-30 21:20:37.840829049,2023-03-30 21:20:37.840829049,1280,20,2023-03-30 21:20:27.486199813,2023-03-30 21:20:27.486199813,2023-03-30 21:20:27.486199813,2023-03-30 21:20:27.486199813,2023-03-30 21:20:37.795808441,2023-03-30 21:20:37.795808441,2023-03-30 21:20:37.795808441,2023-03-30 21:20:37.795808441,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,39428,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
7, 0,1,14234342636854629582,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,26536,440,2023-03-30 21:19:51.884822065,2023-03-30 21:19:51.884822065,2023-03-30 21:19:51.884822065,2023-03-30 21:19:51.884822065,2023-03-30 21:20:49.575537231,2023-03-30 21:20:49.575537231,2023-03-30 21:20:49.575537231,2023-03-30 21:20:49.575537231,0,0,4,4,6,16480,280,2023-03-30 21:19:51.884822065,2023-03-30 21:19:51.884822065,2023-03-30 21:19:51.884822065,2023-03-30 21:19:51.884822065,2023-03-30 21:20:49.575537231,2023-03-30 21:20:49.575537231,2023-03-30 21:20:49.575537231,2023-03-30 21:20:49.575537231,10056,160,2023-03-30 21:19:51.885739122,2023-03-30 21:19:51.885739122,2023-03-30 21:19:51.885739122,2023-03-30 21:19:51.885739122,2023-03-30 21:20:49.575385278,2023-03-30 21:20:49.575385278,2023-03-30 21:20:49.575385278,2023-03-30 21:20:49.575385278,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,57172,502,NIL,769,0,0,1,92,69,NIL,NIL,NIL,160,NIL
8, 0,1,15846425506523960898,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,32876,529,2023-03-30 21:20:44.906154076,2023-03-30 21:20:44.906154076,2023-03-30 21:20:44.906154076,2023-03-30 21:20:44.906154076,2023-03-30 21:20:49.574533568,2023-03-30 21:20:49.574533568,2023-03-30 21:20:49.574533568,2023-03-30 21:20:49.574533568,0,0,5,4,6,18796,309,2023-03-30 21:20:44.906154076,2023-03-30 21:20:44.906154076,2023-03-30 21:20:44.906154076,2023-03-30 21:20:44.906154076,2023-03-30 21:20:49.574533568,2023-03-30 21:20:49.574533568,2023-03-30 21:20:49.574533568,2023-03-30 21:20:49.574533568,14080,220,2023-03-30 21:20:44.907025099,2023-03-30 21:20:44.907025099,2023-03-30 21:20:44.907025099,2023-03-30 21:20:44.907025099,2023-03-30 21:20:49.574360243,2023-03-30 21:20:49.574360243,2023-03-30 21:20:49.574360243,2023-03-30 21:20:49.574360243,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,45346,502,NIL,769,0,0,1,NIL,220,NIL,NIL,NIL,220,NIL
9, 0,1,11980760398780474707,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,2023-03-30 21:19:42.858127024,4312,70,2023-03-30 21:20:49.575680148,2023-03-30 21:20:49.575680148,2023-03-30 21:20:49.575680148,2023-03-30 21:20:49.575680148,2023-03-30 21:21:03.012767076,2023-03-30 21:21:03.012767076,2023-03-30 21:21:03.012767076,2023-03-30 21:21:03.012767076,0,0,5,4,6,2520,42,2023-03-30 21:20:49.575680148,2023-03-30 21:20:49.575680148,2023-03-30 21:20:49.575680148,2023-03-30 21:20:49.575680148,2023-03-30 21:21:03.012767076,2023-03-30 21:21:03.012767076,2023-03-30 21:21:03.012767076,2023-03-30 21:21:03.012767076,1792,28,2023-03-30 21:20:49.576538329,2023-03-30 21:20:49.576538329,2023-03-30 21:20:49.576538329,2023-03-30 21:20:49.576538329,2023-03-30 21:21:02.965631526,2023-03-30 21:21:02.965631526,2023-03-30 21:21:02.965631526,2023-03-30 21:21:02.965631526,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,37776,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
