EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,14910422276250842282,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,616,10,2023-03-30 21:19:43.541630497,2023-03-30 21:19:43.541630497,2023-03-30 21:19:43.541630497,2023-03-30 21:19:43.541630497,2023-03-30 21:19:43.588149943,2023-03-30 21:19:43.588149943,2023-03-30 21:19:43.588149943,2023-03-30 21:19:43.588149943,0,0,5,4,6,360,6,2023-03-30 21:19:43.541630497,2023-03-30 21:19:43.541630497,2023-03-30 21:19:43.541630497,2023-03-30 21:19:43.541630497,2023-03-30 21:19:43.588149943,2023-03-30 21:19:43.588149943,2023-03-30 21:19:43.588149943,2023-03-30 21:19:43.588149943,256,4,2023-03-30 21:19:43.542347952,2023-03-30 21:19:43.542347952,2023-03-30 21:19:43.542347952,2023-03-30 21:19:43.542347952,2023-03-30 21:19:43.545271121,2023-03-30 21:19:43.545271121,2023-03-30 21:19:43.545271121,2023-03-30 21:19:43.545271121,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,41142,502,NIL,769,0,0,1,NIL,4,NIL,NIL,NIL,4,NIL
1, 0,1,11531506917654387622,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,1232,20,2023-03-30 21:19:43.433185239,2023-03-30 21:19:43.433185239,2023-03-30 21:19:43.433185239,2023-03-30 21:19:43.433185239,2023-03-30 21:19:43.532315701,2023-03-30 21:19:43.532315701,2023-03-30 21:19:43.532315701,2023-03-30 21:19:43.532315701,0,0,5,4,6,720,12,2023-03-30 21:19:43.433185239,2023-03-30 21:19:43.433185239,2023-03-30 21:19:43.433185239,2023-03-30 21:19:43.433185239,2023-03-30 21:19:43.532315701,2023-03-30 21:19:43.532315701,2023-03-30 21:19:43.532315701,2023-03-30 21:19:43.532315701,512,8,2023-03-30 21:19:43.434143012,2023-03-30 21:19:43.434143012,2023-03-30 21:19:43.434143012,2023-03-30 21:19:43.434143012,2023-03-30 21:19:43.491130238,2023-03-30 21:19:43.491130238,2023-03-30 21:19:43.491130238,2023-03-30 21:19:43.491130238,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,37274,502,NIL,769,0,0,1,NIL,8,NIL,NIL,NIL,8,NIL
2, 0,1,17961909668128687813,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,32876,529,2023-03-30 21:19:50.601629210,2023-03-30 21:19:50.601629210,2023-03-30 21:19:50.601629210,2023-03-30 21:19:50.601629210,2023-03-30 21:19:55.274161365,2023-03-30 21:19:55.274161365,2023-03-30 21:19:55.274161365,2023-03-30 21:19:55.274161365,0,0,5,4,6,18796,309,2023-03-30 21:19:50.601629210,2023-03-30 21:19:50.601629210,2023-03-30 21:19:50.601629210,2023-03-30 21:19:50.601629210,2023-03-30 21:19:55.274161365,2023-03-30 21:19:55.274161365,2023-03-30 21:19:55.274161365,2023-03-30 21:19:55.274161365,14080,220,2023-03-30 21:19:50.602462688,2023-03-30 21:19:50.602462688,2023-03-30 21:19:50.602462688,2023-03-30 21:19:50.602462688,2023-03-30 21:19:55.273965626,2023-03-30 21:19:55.273965626,2023-03-30 21:19:55.273965626,2023-03-30 21:19:55.273965626,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,52642,502,NIL,769,0,0,1,NIL,220,NIL,NIL,NIL,220,NIL
3, 0,1,14088196081038533674,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,804,4,2023-03-30 21:19:54.310359651,2023-03-30 21:19:54.310359651,2023-03-30 21:19:54.310359651,2023-03-30 21:19:54.310359651,2023-03-30 21:19:57.323900628,2023-03-30 21:19:57.323900628,2023-03-30 21:19:57.323900628,2023-03-30 21:19:57.323900628,0,0,5,4,17,804,4,2023-03-30 21:19:54.310359651,2023-03-30 21:19:54.310359651,2023-03-30 21:19:54.310359651,2023-03-30 21:19:54.310359651,2023-03-30 21:19:57.323900628,2023-03-30 21:19:57.323900628,2023-03-30 21:19:57.323900628,2023-03-30 21:19:57.323900628,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.250,239.255.255.250,NIL,NIL,NIL,NIL,NIL,52467,1900,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
4, 0,1,14910422276250842282,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,4312,70,2023-03-30 21:19:55.275317011,2023-03-30 21:19:55.275317011,2023-03-30 21:19:55.275317011,2023-03-30 21:19:55.275317011,2023-03-30 21:20:08.704142691,2023-03-30 21:20:08.704142691,2023-03-30 21:20:08.704142691,2023-03-30 21:20:08.704142691,0,0,5,4,6,2520,42,2023-03-30 21:19:55.275317011,2023-03-30 21:19:55.275317011,2023-03-30 21:19:55.275317011,2023-03-30 21:19:55.275317011,2023-03-30 21:20:08.704142691,2023-03-30 21:20:08.704142691,2023-03-30 21:20:08.704142691,2023-03-30 21:20:08.704142691,1792,28,2023-03-30 21:19:55.276120940,2023-03-30 21:19:55.276120940,2023-03-30 21:19:55.276120940,2023-03-30 21:19:55.276120940,2023-03-30 21:20:08.659386462,2023-03-30 21:20:08.659386462,2023-03-30 21:20:08.659386462,2023-03-30 21:20:08.659386462,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,41142,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
5, 0,1,11531506917654387622,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2872,46,2023-03-30 21:19:58.295520473,2023-03-30 21:19:58.295520473,2023-03-30 21:19:58.295520473,2023-03-30 21:19:58.295520473,2023-03-30 21:20:08.652210470,2023-03-30 21:20:08.652210470,2023-03-30 21:20:08.652210470,2023-03-30 21:20:08.652210470,0,0,5,4,6,1592,26,2023-03-30 21:19:58.295520473,2023-03-30 21:19:58.295520473,2023-03-30 21:19:58.295520473,2023-03-30 21:19:58.295520473,2023-03-30 21:20:08.652210470,2023-03-30 21:20:08.652210470,2023-03-30 21:20:08.652210470,2023-03-30 21:20:08.652210470,1280,20,2023-03-30 21:19:58.296346054,2023-03-30 21:19:58.296346054,2023-03-30 21:19:58.296346054,2023-03-30 21:19:58.296346054,2023-03-30 21:20:08.605850908,2023-03-30 21:20:08.605850908,2023-03-30 21:20:08.605850908,2023-03-30 21:20:08.605850908,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,37274,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
6, 0,1,17961909668128687813,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,33622,541,2023-03-30 21:20:15.717734456,2023-03-30 21:20:15.717734456,2023-03-30 21:20:15.717734456,2023-03-30 21:20:15.717734456,2023-03-30 21:20:20.488429607,2023-03-30 21:20:20.488429607,2023-03-30 21:20:20.488429607,2023-03-30 21:20:20.488429607,0,0,5,4,6,19222,316,2023-03-30 21:20:15.717734456,2023-03-30 21:20:15.717734456,2023-03-30 21:20:15.717734456,2023-03-30 21:20:15.717734456,2023-03-30 21:20:20.488429607,2023-03-30 21:20:20.488429607,2023-03-30 21:20:20.488429607,2023-03-30 21:20:20.488429607,14400,225,2023-03-30 21:20:15.718680112,2023-03-30 21:20:15.718680112,2023-03-30 21:20:15.718680112,2023-03-30 21:20:15.718680112,2023-03-30 21:20:20.488347368,2023-03-30 21:20:20.488347368,2023-03-30 21:20:20.488347368,2023-03-30 21:20:20.488347368,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,52642,502,NIL,769,0,0,1,NIL,225,NIL,NIL,NIL,225,NIL
7, 0,1,13769084571472227524,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,29250,487,2023-03-30 21:19:43.216250984,2023-03-30 21:19:43.216250984,2023-03-30 21:19:43.216250984,2023-03-30 21:19:43.216250984,2023-03-30 21:20:43.152500236,2023-03-30 21:20:43.152500236,2023-03-30 21:20:43.152500236,2023-03-30 21:20:43.152500236,0,0,4,4,6,18404,314,2023-03-30 21:19:43.216250984,2023-03-30 21:19:43.216250984,2023-03-30 21:19:43.216250984,2023-03-30 21:19:43.216250984,2023-03-30 21:20:43.152500236,2023-03-30 21:20:43.152500236,2023-03-30 21:20:43.152500236,2023-03-30 21:20:43.152500236,10846,173,2023-03-30 21:19:43.219398399,2023-03-30 21:19:43.219398399,2023-03-30 21:19:43.219398399,2023-03-30 21:19:43.219398399,2023-03-30 21:20:43.152362094,2023-03-30 21:20:43.152362094,2023-03-30 21:20:43.152362094,2023-03-30 21:20:43.152362094,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,35814,502,NIL,769,0,0,1,114,60,NIL,NIL,NIL,173,NIL
8, 0,1,14910422276250842282,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,4312,70,2023-03-30 21:20:20.489262706,2023-03-30 21:20:20.489262706,2023-03-30 21:20:20.489262706,2023-03-30 21:20:20.489262706,2023-03-30 21:20:33.912143357,2023-03-30 21:20:33.912143357,2023-03-30 21:20:33.912143357,2023-03-30 21:20:33.912143357,0,0,5,4,6,2520,42,2023-03-30 21:20:20.489262706,2023-03-30 21:20:20.489262706,2023-03-30 21:20:20.489262706,2023-03-30 21:20:20.489262706,2023-03-30 21:20:33.912143357,2023-03-30 21:20:33.912143357,2023-03-30 21:20:33.912143357,2023-03-30 21:20:33.912143357,1792,28,2023-03-30 21:20:20.489981507,2023-03-30 21:20:20.489981507,2023-03-30 21:20:20.489981507,2023-03-30 21:20:20.489981507,2023-03-30 21:20:33.866214437,2023-03-30 21:20:33.866214437,2023-03-30 21:20:33.866214437,2023-03-30 21:20:33.866214437,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,41142,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
9, 0,1,11531506917654387622,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2023-03-30 21:19:42.882130580,2872,46,2023-03-30 21:20:23.507147904,2023-03-30 21:20:23.507147904,2023-03-30 21:20:23.507147904,2023-03-30 21:20:23.507147904,2023-03-30 21:20:33.856171451,2023-03-30 21:20:33.856171451,2023-03-30 21:20:33.856171451,2023-03-30 21:20:33.856171451,0,0,5,4,6,1592,26,2023-03-30 21:20:23.507147904,2023-03-30 21:20:23.507147904,2023-03-30 21:20:23.507147904,2023-03-30 21:20:23.507147904,2023-03-30 21:20:33.856171451,2023-03-30 21:20:33.856171451,2023-03-30 21:20:33.856171451,2023-03-30 21:20:33.856171451,1280,20,2023-03-30 21:20:23.507901343,2023-03-30 21:20:23.507901343,2023-03-30 21:20:23.507901343,2023-03-30 21:20:23.507901343,2023-03-30 21:20:33.812237300,2023-03-30 21:20:33.812237300,2023-03-30 21:20:33.812237300,2023-03-30 21:20:33.812237300,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,37274,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
