EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,16823175585921635144,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,4104,66,2023-03-30 21:19:48.490770538,2023-03-30 21:19:48.490770538,2023-03-30 21:19:48.490770538,2023-03-30 21:19:48.490770538,2023-03-30 21:20:09.031483728,2023-03-30 21:20:09.031483728,2023-03-30 21:20:09.031483728,2023-03-30 21:20:09.031483728,0,0,5,4,6,2312,38,2023-03-30 21:19:48.490770538,2023-03-30 21:19:48.490770538,2023-03-30 21:19:48.490770538,2023-03-30 21:19:48.490770538,2023-03-30 21:20:09.031483728,2023-03-30 21:20:09.031483728,2023-03-30 21:20:09.031483728,2023-03-30 21:20:09.031483728,1792,28,2023-03-30 21:19:48.491624628,2023-03-30 21:19:48.491624628,2023-03-30 21:19:48.491624628,2023-03-30 21:19:48.491624628,2023-03-30 21:20:08.987886978,2023-03-30 21:20:08.987886978,2023-03-30 21:20:08.987886978,2023-03-30 21:20:08.987886978,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,39850,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
1, 0,1,17732036128857544588,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,137,1,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,0,0,5,4,17,137,1,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,2023-03-30 21:20:17.079089461,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
2, 0,1,11861660146099551037,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,33622,541,2023-03-30 21:20:16.096760402,2023-03-30 21:20:16.096760402,2023-03-30 21:20:16.096760402,2023-03-30 21:20:16.096760402,2023-03-30 21:20:20.848073817,2023-03-30 21:20:20.848073817,2023-03-30 21:20:20.848073817,2023-03-30 21:20:20.848073817,0,0,5,4,6,19222,316,2023-03-30 21:20:16.096760402,2023-03-30 21:20:16.096760402,2023-03-30 21:20:16.096760402,2023-03-30 21:20:16.096760402,2023-03-30 21:20:20.848073817,2023-03-30 21:20:20.848073817,2023-03-30 21:20:20.848073817,2023-03-30 21:20:20.848073817,14400,225,2023-03-30 21:20:16.097660454,2023-03-30 21:20:16.097660454,2023-03-30 21:20:16.097660454,2023-03-30 21:20:16.097660454,2023-03-30 21:20:20.847892719,2023-03-30 21:20:20.847892719,2023-03-30 21:20:20.847892719,2023-03-30 21:20:20.847892719,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,55332,502,NIL,769,0,0,1,NIL,225,NIL,NIL,NIL,225,NIL
3, 0,1,16093183947187354571,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,11088,180,2023-03-30 21:19:45.259697293,2023-03-30 21:19:45.259697293,2023-03-30 21:19:45.259697293,2023-03-30 21:19:45.259697293,2023-03-30 21:20:34.279560127,2023-03-30 21:20:34.279560127,2023-03-30 21:20:34.279560127,2023-03-30 21:20:34.279560127,0,0,5,4,6,6480,108,2023-03-30 21:19:45.259697293,2023-03-30 21:19:45.259697293,2023-03-30 21:19:45.259697293,2023-03-30 21:19:45.259697293,2023-03-30 21:20:34.279560127,2023-03-30 21:20:34.279560127,2023-03-30 21:20:34.279560127,2023-03-30 21:20:34.279560127,4608,72,2023-03-30 21:19:45.262006530,2023-03-30 21:19:45.262006530,2023-03-30 21:19:45.262006530,2023-03-30 21:19:45.262006530,2023-03-30 21:20:34.236389524,2023-03-30 21:20:34.236389524,2023-03-30 21:20:34.236389524,2023-03-30 21:20:34.236389524,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,39564,502,NIL,769,0,0,1,NIL,72,NIL,NIL,NIL,72,NIL
4, 0,1,16823175585921635144,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2872,46,2023-03-30 21:20:23.868493732,2023-03-30 21:20:23.868493732,2023-03-30 21:20:23.868493732,2023-03-30 21:20:23.868493732,2023-03-30 21:20:34.227531325,2023-03-30 21:20:34.227531325,2023-03-30 21:20:34.227531325,2023-03-30 21:20:34.227531325,0,0,5,4,6,1592,26,2023-03-30 21:20:23.868493732,2023-03-30 21:20:23.868493732,2023-03-30 21:20:23.868493732,2023-03-30 21:20:23.868493732,2023-03-30 21:20:34.227531325,2023-03-30 21:20:34.227531325,2023-03-30 21:20:34.227531325,2023-03-30 21:20:34.227531325,1280,20,2023-03-30 21:20:23.869342298,2023-03-30 21:20:23.869342298,2023-03-30 21:20:23.869342298,2023-03-30 21:20:23.869342298,2023-03-30 21:20:34.182216528,2023-03-30 21:20:34.182216528,2023-03-30 21:20:34.182216528,2023-03-30 21:20:34.182216528,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,39850,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
5, 0,1,17370151085257211647,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,804,4,2023-03-30 21:20:32.967396667,2023-03-30 21:20:32.967396667,2023-03-30 21:20:32.967396667,2023-03-30 21:20:32.967396667,2023-03-30 21:20:35.986692560,2023-03-30 21:20:35.986692560,2023-03-30 21:20:35.986692560,2023-03-30 21:20:35.986692560,0,0,5,4,17,804,4,2023-03-30 21:20:32.967396667,2023-03-30 21:20:32.967396667,2023-03-30 21:20:32.967396667,2023-03-30 21:20:32.967396667,2023-03-30 21:20:35.986692560,2023-03-30 21:20:35.986692560,2023-03-30 21:20:35.986692560,2023-03-30 21:20:35.986692560,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.250,239.255.255.250,NIL,NIL,NIL,NIL,NIL,44708,1900,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
6, 0,1,18440237130713813222,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,26536,440,2023-03-30 21:19:48.274518058,2023-03-30 21:19:48.274518058,2023-03-30 21:19:48.274518058,2023-03-30 21:19:48.274518058,2023-03-30 21:20:45.956574538,2023-03-30 21:20:45.956574538,2023-03-30 21:20:45.956574538,2023-03-30 21:20:45.956574538,0,0,4,4,6,16480,280,2023-03-30 21:19:48.274518058,2023-03-30 21:19:48.274518058,2023-03-30 21:19:48.274518058,2023-03-30 21:19:48.274518058,2023-03-30 21:20:45.956574538,2023-03-30 21:20:45.956574538,2023-03-30 21:20:45.956574538,2023-03-30 21:20:45.956574538,10056,160,2023-03-30 21:19:48.275521514,2023-03-30 21:19:48.275521514,2023-03-30 21:19:48.275521514,2023-03-30 21:19:48.275521514,2023-03-30 21:20:45.956391959,2023-03-30 21:20:45.956391959,2023-03-30 21:20:45.956391959,2023-03-30 21:20:45.956391959,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,45028,502,NIL,769,0,0,1,92,69,NIL,NIL,NIL,160,NIL
7, 0,1,11768789151576669133,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,5576,17,2023-03-30 21:19:46.933771756,2023-03-30 21:19:46.933771756,2023-03-30 21:19:46.933771756,2023-03-30 21:19:46.933771756,2023-03-30 21:20:44.653319553,2023-03-30 21:20:44.653319553,2023-03-30 21:20:44.653319553,2023-03-30 21:20:44.653319553,0,0,4,4,17,5576,17,2023-03-30 21:19:46.933771756,2023-03-30 21:19:46.933771756,2023-03-30 21:19:46.933771756,2023-03-30 21:19:46.933771756,2023-03-30 21:20:44.653319553,2023-03-30 21:20:44.653319553,2023-03-30 21:20:44.653319553,2023-03-30 21:20:44.653319553,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
8, 0,1,11861660146099551037,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,32876,529,2023-03-30 21:20:41.292972126,2023-03-30 21:20:41.292972126,2023-03-30 21:20:41.292972126,2023-03-30 21:20:41.292972126,2023-03-30 21:20:45.955487116,2023-03-30 21:20:45.955487116,2023-03-30 21:20:45.955487116,2023-03-30 21:20:45.955487116,0,0,5,4,6,18796,309,2023-03-30 21:20:41.292972126,2023-03-30 21:20:41.292972126,2023-03-30 21:20:41.292972126,2023-03-30 21:20:41.292972126,2023-03-30 21:20:45.955487116,2023-03-30 21:20:45.955487116,2023-03-30 21:20:45.955487116,2023-03-30 21:20:45.955487116,14080,220,2023-03-30 21:20:41.293601495,2023-03-30 21:20:41.293601495,2023-03-30 21:20:41.293601495,2023-03-30 21:20:41.293601495,2023-03-30 21:20:45.955251825,2023-03-30 21:20:45.955251825,2023-03-30 21:20:45.955251825,2023-03-30 21:20:45.955251825,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,55332,502,NIL,769,0,0,1,NIL,220,NIL,NIL,NIL,220,NIL
9, 0,1,16823175585921635144,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,2023-03-30 21:19:42.898596634,1640,26,2023-03-30 21:20:48.975139677,2023-03-30 21:20:48.975139677,2023-03-30 21:20:48.975139677,2023-03-30 21:20:48.975139677,2023-03-30 21:20:49.027448028,2023-03-30 21:20:49.027448028,2023-03-30 21:20:49.027448028,2023-03-30 21:20:49.027448028,0,0,5,4,6,872,14,2023-03-30 21:20:48.975139677,2023-03-30 21:20:48.975139677,2023-03-30 21:20:48.975139677,2023-03-30 21:20:48.975139677,2023-03-30 21:20:49.027448028,2023-03-30 21:20:49.027448028,2023-03-30 21:20:49.027448028,2023-03-30 21:20:49.027448028,768,12,2023-03-30 21:20:48.976017863,2023-03-30 21:20:48.976017863,2023-03-30 21:20:48.976017863,2023-03-30 21:20:48.976017863,2023-03-30 21:20:48.984578612,2023-03-30 21:20:48.984578612,2023-03-30 21:20:48.984578612,2023-03-30 21:20:48.984578612,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,39850,502,NIL,769,0,0,1,NIL,12,NIL,NIL,NIL,12,NIL
