EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,11110990175682268361,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,1232,20,2023-03-30 21:19:46.423751098,2023-03-30 21:19:46.423751098,2023-03-30 21:19:46.423751098,2023-03-30 21:19:46.423751098,2023-03-30 21:19:46.524297736,2023-03-30 21:19:46.524297736,2023-03-30 21:19:46.524297736,2023-03-30 21:19:46.524297736,0,0,5,4,6,720,12,2023-03-30 21:19:46.423751098,2023-03-30 21:19:46.423751098,2023-03-30 21:19:46.423751098,2023-03-30 21:19:46.423751098,2023-03-30 21:19:46.524297736,2023-03-30 21:19:46.524297736,2023-03-30 21:19:46.524297736,2023-03-30 21:19:46.524297736,512,8,2023-03-30 21:19:46.424508459,2023-03-30 21:19:46.424508459,2023-03-30 21:19:46.424508459,2023-03-30 21:19:46.424508459,2023-03-30 21:19:46.480362467,2023-03-30 21:19:46.480362467,2023-03-30 21:19:46.480362467,2023-03-30 21:19:46.480362467,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,38162,502,NIL,769,0,0,1,NIL,8,NIL,NIL,NIL,8,NIL
1, 0,1,18178511192142743958,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,804,4,2023-03-30 21:19:57.194952805,2023-03-30 21:19:57.194952805,2023-03-30 21:19:57.194952805,2023-03-30 21:19:57.194952805,2023-03-30 21:20:00.215717273,2023-03-30 21:20:00.215717273,2023-03-30 21:20:00.215717273,2023-03-30 21:20:00.215717273,0,0,5,4,17,804,4,2023-03-30 21:19:57.194952805,2023-03-30 21:19:57.194952805,2023-03-30 21:19:57.194952805,2023-03-30 21:19:57.194952805,2023-03-30 21:20:00.215717273,2023-03-30 21:20:00.215717273,2023-03-30 21:20:00.215717273,2023-03-30 21:20:00.215717273,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.250,239.255.255.250,NIL,NIL,NIL,NIL,NIL,45754,1900,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
2, 0,1,11392363785555894239,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,6776,110,2023-03-30 21:19:43.194609575,2023-03-30 21:19:43.194609575,2023-03-30 21:19:43.194609575,2023-03-30 21:19:43.194609575,2023-03-30 21:20:07.020337436,2023-03-30 21:20:07.020337436,2023-03-30 21:20:07.020337436,2023-03-30 21:20:07.020337436,0,0,5,4,6,3960,66,2023-03-30 21:19:43.194609575,2023-03-30 21:19:43.194609575,2023-03-30 21:19:43.194609575,2023-03-30 21:19:43.194609575,2023-03-30 21:20:07.020337436,2023-03-30 21:20:07.020337436,2023-03-30 21:20:07.020337436,2023-03-30 21:20:07.020337436,2816,44,2023-03-30 21:19:43.201873872,2023-03-30 21:19:43.201873872,2023-03-30 21:19:43.201873872,2023-03-30 21:19:43.201873872,2023-03-30 21:20:06.979090880,2023-03-30 21:20:06.979090880,2023-03-30 21:20:06.979090880,2023-03-30 21:20:06.979090880,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,51058,502,NIL,769,0,0,1,NIL,44,NIL,NIL,NIL,44,NIL
3, 0,1,11110990175682268361,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2872,46,2023-03-30 21:19:56.613118151,2023-03-30 21:19:56.613118151,2023-03-30 21:19:56.613118151,2023-03-30 21:19:56.613118151,2023-03-30 21:20:06.968321719,2023-03-30 21:20:06.968321719,2023-03-30 21:20:06.968321719,2023-03-30 21:20:06.968321719,0,0,5,4,6,1592,26,2023-03-30 21:19:56.613118151,2023-03-30 21:19:56.613118151,2023-03-30 21:19:56.613118151,2023-03-30 21:19:56.613118151,2023-03-30 21:20:06.968321719,2023-03-30 21:20:06.968321719,2023-03-30 21:20:06.968321719,2023-03-30 21:20:06.968321719,1280,20,2023-03-30 21:19:56.613968848,2023-03-30 21:19:56.613968848,2023-03-30 21:19:56.613968848,2023-03-30 21:19:56.613968848,2023-03-30 21:20:06.924954083,2023-03-30 21:20:06.924954083,2023-03-30 21:20:06.924954083,2023-03-30 21:20:06.924954083,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,38162,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
4, 0,1,14304677565002064428,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,33622,541,2023-03-30 21:20:14.037626854,2023-03-30 21:20:14.037626854,2023-03-30 21:20:14.037626854,2023-03-30 21:20:14.037626854,2023-03-30 21:20:18.805734327,2023-03-30 21:20:18.805734327,2023-03-30 21:20:18.805734327,2023-03-30 21:20:18.805734327,0,0,5,4,6,19222,316,2023-03-30 21:20:14.037626854,2023-03-30 21:20:14.037626854,2023-03-30 21:20:14.037626854,2023-03-30 21:20:14.037626854,2023-03-30 21:20:18.805734327,2023-03-30 21:20:18.805734327,2023-03-30 21:20:18.805734327,2023-03-30 21:20:18.805734327,14400,225,2023-03-30 21:20:14.038525807,2023-03-30 21:20:14.038525807,2023-03-30 21:20:14.038525807,2023-03-30 21:20:14.038525807,2023-03-30 21:20:18.805636454,2023-03-30 21:20:18.805636454,2023-03-30 21:20:18.805636454,2023-03-30 21:20:18.805636454,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,33600,502,NIL,769,0,0,1,NIL,225,NIL,NIL,NIL,225,NIL
5, 0,1,11392363785555894239,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,4312,70,2023-03-30 21:20:18.806521376,2023-03-30 21:20:18.806521376,2023-03-30 21:20:18.806521376,2023-03-30 21:20:18.806521376,2023-03-30 21:20:32.228300824,2023-03-30 21:20:32.228300824,2023-03-30 21:20:32.228300824,2023-03-30 21:20:32.228300824,0,0,5,4,6,2520,42,2023-03-30 21:20:18.806521376,2023-03-30 21:20:18.806521376,2023-03-30 21:20:18.806521376,2023-03-30 21:20:18.806521376,2023-03-30 21:20:32.228300824,2023-03-30 21:20:32.228300824,2023-03-30 21:20:32.228300824,2023-03-30 21:20:32.228300824,1792,28,2023-03-30 21:20:18.807338062,2023-03-30 21:20:18.807338062,2023-03-30 21:20:18.807338062,2023-03-30 21:20:18.807338062,2023-03-30 21:20:32.186631991,2023-03-30 21:20:32.186631991,2023-03-30 21:20:32.186631991,2023-03-30 21:20:32.186631991,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,51058,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
6, 0,1,11110990175682268361,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2872,46,2023-03-30 21:20:21.825612878,2023-03-30 21:20:21.825612878,2023-03-30 21:20:21.825612878,2023-03-30 21:20:21.825612878,2023-03-30 21:20:32.180288124,2023-03-30 21:20:32.180288124,2023-03-30 21:20:32.180288124,2023-03-30 21:20:32.180288124,0,0,5,4,6,1592,26,2023-03-30 21:20:21.825612878,2023-03-30 21:20:21.825612878,2023-03-30 21:20:21.825612878,2023-03-30 21:20:21.825612878,2023-03-30 21:20:32.180288124,2023-03-30 21:20:32.180288124,2023-03-30 21:20:32.180288124,2023-03-30 21:20:32.180288124,1280,20,2023-03-30 21:20:21.826374566,2023-03-30 21:20:21.826374566,2023-03-30 21:20:21.826374566,2023-03-30 21:20:21.826374566,2023-03-30 21:20:32.132618617,2023-03-30 21:20:32.132618617,2023-03-30 21:20:32.132618617,2023-03-30 21:20:32.132618617,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,38162,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
7, 0,1,17732036128857544588,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,137,1,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,0,0,5,4,17,137,1,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,2023-03-30 21:20:34.268096805,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
8, 0,1,12977871919540911045,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,25468,422,2023-03-30 21:19:46.208462569,2023-03-30 21:19:46.208462569,2023-03-30 21:19:46.208462569,2023-03-30 21:19:46.208462569,2023-03-30 21:20:43.267825585,2023-03-30 21:20:43.267825585,2023-03-30 21:20:43.267825585,2023-03-30 21:20:43.267825585,0,0,4,4,6,15784,268,2023-03-30 21:19:46.208462569,2023-03-30 21:19:46.208462569,2023-03-30 21:19:46.208462569,2023-03-30 21:19:46.208462569,2023-03-30 21:20:43.267825585,2023-03-30 21:20:43.267825585,2023-03-30 21:20:43.267825585,2023-03-30 21:20:43.267825585,9684,154,2023-03-30 21:19:46.209258535,2023-03-30 21:19:46.209258535,2023-03-30 21:19:46.209258535,2023-03-30 21:19:46.209258535,2023-03-30 21:20:43.267515407,2023-03-30 21:20:43.267515407,2023-03-30 21:20:43.267515407,2023-03-30 21:20:43.267515407,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,50874,502,NIL,769,0,0,1,86,69,NIL,NIL,NIL,154,NIL
9, 0,1,11768789151576669133,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,2023-03-30 21:19:42.876267230,6232,19,2023-03-30 21:19:45.465086786,2023-03-30 21:19:45.465086786,2023-03-30 21:19:45.465086786,2023-03-30 21:19:45.465086786,2023-03-30 21:20:41.236417627,2023-03-30 21:20:41.236417627,2023-03-30 21:20:41.236417627,2023-03-30 21:20:41.236417627,0,0,4,4,17,6232,19,2023-03-30 21:19:45.465086786,2023-03-30 21:19:45.465086786,2023-03-30 21:19:45.465086786,2023-03-30 21:19:45.465086786,2023-03-30 21:20:41.236417627,2023-03-30 21:20:41.236417627,2023-03-30 21:20:41.236417627,2023-03-30 21:20:41.236417627,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
