EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,17732036128857544588,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,137,1,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,0,0,5,4,17,137,1,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,2023-03-30 21:19:48.298729721,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
1, 0,1,11328130265183784546,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,32876,529,2023-03-30 21:19:46.145649277,2023-03-30 21:19:46.145649277,2023-03-30 21:19:46.145649277,2023-03-30 21:19:46.145649277,2023-03-30 21:19:50.881346722,2023-03-30 21:19:50.881346722,2023-03-30 21:19:50.881346722,2023-03-30 21:19:50.881346722,0,0,5,4,6,18796,309,2023-03-30 21:19:46.145649277,2023-03-30 21:19:46.145649277,2023-03-30 21:19:46.145649277,2023-03-30 21:19:46.145649277,2023-03-30 21:19:50.881346722,2023-03-30 21:19:50.881346722,2023-03-30 21:19:50.881346722,2023-03-30 21:19:50.881346722,14080,220,2023-03-30 21:19:46.146831044,2023-03-30 21:19:46.146831044,2023-03-30 21:19:46.146831044,2023-03-30 21:19:46.146831044,2023-03-30 21:19:50.881105281,2023-03-30 21:19:50.881105281,2023-03-30 21:19:50.881105281,2023-03-30 21:19:50.881105281,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,56214,502,NIL,769,0,0,1,NIL,220,NIL,NIL,NIL,220,NIL
2, 0,1,13121163287875575100,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,1232,20,2023-03-30 21:19:57.139571685,2023-03-30 21:19:57.139571685,2023-03-30 21:19:57.139571685,2023-03-30 21:19:57.139571685,2023-03-30 21:19:57.240076536,2023-03-30 21:19:57.240076536,2023-03-30 21:19:57.240076536,2023-03-30 21:19:57.240076536,0,0,5,4,6,720,12,2023-03-30 21:19:57.139571685,2023-03-30 21:19:57.139571685,2023-03-30 21:19:57.139571685,2023-03-30 21:19:57.139571685,2023-03-30 21:19:57.240076536,2023-03-30 21:19:57.240076536,2023-03-30 21:19:57.240076536,2023-03-30 21:19:57.240076536,512,8,2023-03-30 21:19:57.140471280,2023-03-30 21:19:57.140471280,2023-03-30 21:19:57.140471280,2023-03-30 21:19:57.140471280,2023-03-30 21:19:57.196892838,2023-03-30 21:19:57.196892838,2023-03-30 21:19:57.196892838,2023-03-30 21:19:57.196892838,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,54726,502,NIL,769,0,0,1,NIL,8,NIL,NIL,NIL,8,NIL
3, 0,1,11328130265183784546,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,32876,529,2023-03-30 21:20:04.310626690,2023-03-30 21:20:04.310626690,2023-03-30 21:20:04.310626690,2023-03-30 21:20:04.310626690,2023-03-30 21:20:09.042338254,2023-03-30 21:20:09.042338254,2023-03-30 21:20:09.042338254,2023-03-30 21:20:09.042338254,0,0,5,4,6,18796,309,2023-03-30 21:20:04.310626690,2023-03-30 21:20:04.310626690,2023-03-30 21:20:04.310626690,2023-03-30 21:20:04.310626690,2023-03-30 21:20:09.042338254,2023-03-30 21:20:09.042338254,2023-03-30 21:20:09.042338254,2023-03-30 21:20:09.042338254,14080,220,2023-03-30 21:20:04.311888379,2023-03-30 21:20:04.311888379,2023-03-30 21:20:04.311888379,2023-03-30 21:20:04.311888379,2023-03-30 21:20:09.042220226,2023-03-30 21:20:09.042220226,2023-03-30 21:20:09.042220226,2023-03-30 21:20:09.042220226,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,56214,502,NIL,769,0,0,1,NIL,220,NIL,NIL,NIL,220,NIL
4, 0,1,12335775244587589785,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,8624,140,2023-03-30 21:19:50.882889312,2023-03-30 21:19:50.882889312,2023-03-30 21:19:50.882889312,2023-03-30 21:19:50.882889312,2023-03-30 21:20:15.456068903,2023-03-30 21:20:15.456068903,2023-03-30 21:20:15.456068903,2023-03-30 21:20:15.456068903,0,0,5,4,6,5040,84,2023-03-30 21:19:50.882889312,2023-03-30 21:19:50.882889312,2023-03-30 21:19:50.882889312,2023-03-30 21:19:50.882889312,2023-03-30 21:20:15.456068903,2023-03-30 21:20:15.456068903,2023-03-30 21:20:15.456068903,2023-03-30 21:20:15.456068903,3584,56,2023-03-30 21:19:50.883709874,2023-03-30 21:19:50.883709874,2023-03-30 21:19:50.883709874,2023-03-30 21:19:50.883709874,2023-03-30 21:20:15.415327996,2023-03-30 21:20:15.415327996,2023-03-30 21:20:15.415327996,2023-03-30 21:20:15.415327996,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,38378,502,NIL,769,0,0,1,NIL,56,NIL,NIL,NIL,56,NIL
5, 0,1,13121163287875575100,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,1232,20,2023-03-30 21:20:15.298988335,2023-03-30 21:20:15.298988335,2023-03-30 21:20:15.298988335,2023-03-30 21:20:15.298988335,2023-03-30 21:20:15.399921085,2023-03-30 21:20:15.399921085,2023-03-30 21:20:15.399921085,2023-03-30 21:20:15.399921085,0,0,5,4,6,720,12,2023-03-30 21:20:15.298988335,2023-03-30 21:20:15.298988335,2023-03-30 21:20:15.298988335,2023-03-30 21:20:15.298988335,2023-03-30 21:20:15.399921085,2023-03-30 21:20:15.399921085,2023-03-30 21:20:15.399921085,2023-03-30 21:20:15.399921085,512,8,2023-03-30 21:20:15.300161050,2023-03-30 21:20:15.300161050,2023-03-30 21:20:15.300161050,2023-03-30 21:20:15.300161050,2023-03-30 21:20:15.359255311,2023-03-30 21:20:15.359255311,2023-03-30 21:20:15.359255311,2023-03-30 21:20:15.359255311,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,54726,502,NIL,769,0,0,1,NIL,8,NIL,NIL,NIL,8,NIL
6, 0,1,11328130265183784546,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,32876,529,2023-03-30 21:20:22.470201140,2023-03-30 21:20:22.470201140,2023-03-30 21:20:22.470201140,2023-03-30 21:20:22.470201140,2023-03-30 21:20:27.208716064,2023-03-30 21:20:27.208716064,2023-03-30 21:20:27.208716064,2023-03-30 21:20:27.208716064,0,0,5,4,6,18796,309,2023-03-30 21:20:22.470201140,2023-03-30 21:20:22.470201140,2023-03-30 21:20:22.470201140,2023-03-30 21:20:22.470201140,2023-03-30 21:20:27.208716064,2023-03-30 21:20:27.208716064,2023-03-30 21:20:27.208716064,2023-03-30 21:20:27.208716064,14080,220,2023-03-30 21:20:22.471114324,2023-03-30 21:20:22.471114324,2023-03-30 21:20:22.471114324,2023-03-30 21:20:22.471114324,2023-03-30 21:20:27.208566638,2023-03-30 21:20:27.208566638,2023-03-30 21:20:27.208566638,2023-03-30 21:20:27.208566638,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,56214,502,NIL,769,0,0,1,NIL,220,NIL,NIL,NIL,220,NIL
7, 0,1,13121163287875575100,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,1232,20,2023-03-30 21:20:33.462492736,2023-03-30 21:20:33.462492736,2023-03-30 21:20:33.462492736,2023-03-30 21:20:33.462492736,2023-03-30 21:20:33.564150283,2023-03-30 21:20:33.564150283,2023-03-30 21:20:33.564150283,2023-03-30 21:20:33.564150283,0,0,5,4,6,720,12,2023-03-30 21:20:33.462492736,2023-03-30 21:20:33.462492736,2023-03-30 21:20:33.462492736,2023-03-30 21:20:33.462492736,2023-03-30 21:20:33.564150283,2023-03-30 21:20:33.564150283,2023-03-30 21:20:33.564150283,2023-03-30 21:20:33.564150283,512,8,2023-03-30 21:20:33.463505386,2023-03-30 21:20:33.463505386,2023-03-30 21:20:33.463505386,2023-03-30 21:20:33.463505386,2023-03-30 21:20:33.522275194,2023-03-30 21:20:33.522275194,2023-03-30 21:20:33.522275194,2023-03-30 21:20:33.522275194,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,54726,502,NIL,769,0,0,1,NIL,8,NIL,NIL,NIL,8,NIL
8, 0,1,11768789151576669133,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,5904,18,2023-03-30 21:19:43.191549441,2023-03-30 21:19:43.191549441,2023-03-30 21:19:43.191549441,2023-03-30 21:19:43.191549441,2023-03-30 21:20:41.796123944,2023-03-30 21:20:41.796123944,2023-03-30 21:20:41.796123944,2023-03-30 21:20:41.796123944,0,0,4,4,17,5904,18,2023-03-30 21:19:43.191549441,2023-03-30 21:19:43.191549441,2023-03-30 21:19:43.191549441,2023-03-30 21:19:43.191549441,2023-03-30 21:20:41.796123944,2023-03-30 21:20:41.796123944,2023-03-30 21:20:41.796123944,2023-03-30 21:20:41.796123944,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
9, 0,1,12335775244587589785,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,2023-03-30 21:19:42.900915755,4312,70,2023-03-30 21:20:27.209704671,2023-03-30 21:20:27.209704671,2023-03-30 21:20:27.209704671,2023-03-30 21:20:27.209704671,2023-03-30 21:20:33.620041703,2023-03-30 21:20:33.620041703,2023-03-30 21:20:33.620041703,2023-03-30 21:20:33.620041703,0,0,5,4,6,2520,42,2023-03-30 21:20:27.209704671,2023-03-30 21:20:27.209704671,2023-03-30 21:20:27.209704671,2023-03-30 21:20:27.209704671,2023-03-30 21:20:33.620041703,2023-03-30 21:20:33.620041703,2023-03-30 21:20:33.620041703,2023-03-30 21:20:33.620041703,1792,28,2023-03-30 21:20:27.210790001,2023-03-30 21:20:27.210790001,2023-03-30 21:20:27.210790001,2023-03-30 21:20:27.210790001,2023-03-30 21:20:33.578252718,2023-03-30 21:20:33.578252718,2023-03-30 21:20:33.578252718,2023-03-30 21:20:33.578252718,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,38378,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
