EXPORT_COUNTER, ZERO, ONE, CRC, FLOWMON_STARTUP_TIME_SEC, FLOWMON_STARTUP_TIME_MSEC, FLOWMON_STARTUP_TIME_USEC, FLOWMON_STARTUP_TIME_NSEC, BYTES, PACKETS, START_SEC, START_MSEC, START_USEC, START_NSEC, END_SEC, END_MSEC, END_USEC, END_NSEC, INPUT_INTERFACE, QUEUE_ID, FLAG_FLUSH, L3_PROTO, L4_PROTO, BYTES_A, PACKETS_A, START_SEC_A, START_MSEC_A, START_USEC_A, START_NSEC_A, END_SEC_A, END_MSEC_A, END_USEC_A, END_NSEC_A, BYTES_B, PACKETS_B, START_SEC_B, START_MSEC_B, START_USEC_B, START_NSEC_B, END_SEC_B, END_MSEC_B, END_USEC_B, END_NSEC_B, L3_IPV4_SRC, L3_IPV4_DST, L3_IPV6_SRC, L3_IPV6_DST, L4_TCP_FLAGS, L4_TCP_FLAGS_A, L4_TCP_FLAGS_B, L4_PORT_SRC, L4_PORT_DST, L4_ICMP_TYPE_CODE, FLAG_MISC, SAMPLING_RATE, SAMPLING_ALGORITHM, MODBUS_UNIT_ID, MODBUS_READ_REQUESTS, MODBUS_WRITE_REQUESTS, MODBUS_DIAGNOSTIC_REQUESTS, MODBUS_OTHER_REQUESTS, MODBUS_UNDEFINED_REQUESTS, MODBUS_SUCCESS_RESPONSES, MODBUS_ERROR_RESPONSES
0, 0,1,17732036128857544588,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,137,1,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,0,0,5,4,17,137,1,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,2023-03-30 21:19:48.547648305,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
1, 0,1,13121163287875575100,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,1284,21,2023-03-30 21:19:51.883619661,2023-03-30 21:19:51.883619661,2023-03-30 21:19:51.883619661,2023-03-30 21:19:51.883619661,2023-03-30 21:19:51.982097592,2023-03-30 21:19:51.982097592,2023-03-30 21:19:51.982097592,2023-03-30 21:19:51.982097592,0,0,5,4,6,720,12,2023-03-30 21:19:51.883619661,2023-03-30 21:19:51.883619661,2023-03-30 21:19:51.883619661,2023-03-30 21:19:51.883619661,2023-03-30 21:19:51.982097592,2023-03-30 21:19:51.982097592,2023-03-30 21:19:51.982097592,2023-03-30 21:19:51.982097592,564,9,2023-03-30 21:19:51.884083162,2023-03-30 21:19:51.884083162,2023-03-30 21:19:51.884083162,2023-03-30 21:19:51.884083162,2023-03-30 21:19:51.941657338,2023-03-30 21:19:51.941657338,2023-03-30 21:19:51.941657338,2023-03-30 21:19:51.941657338,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,54726,502,NIL,769,0,0,1,NIL,8,NIL,NIL,NIL,8,NIL
2, 0,1,12335775244587589785,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2464,40,2023-03-30 21:19:48.650335797,2023-03-30 21:19:48.650335797,2023-03-30 21:19:48.650335797,2023-03-30 21:19:48.650335797,2023-03-30 21:19:52.038151463,2023-03-30 21:19:52.038151463,2023-03-30 21:19:52.038151463,2023-03-30 21:19:52.038151463,0,0,5,4,6,1440,24,2023-03-30 21:19:48.650335797,2023-03-30 21:19:48.650335797,2023-03-30 21:19:48.650335797,2023-03-30 21:19:48.650335797,2023-03-30 21:19:52.038151463,2023-03-30 21:19:52.038151463,2023-03-30 21:19:52.038151463,2023-03-30 21:19:52.038151463,1024,16,2023-03-30 21:19:48.651137480,2023-03-30 21:19:48.651137480,2023-03-30 21:19:48.651137480,2023-03-30 21:19:48.651137480,2023-03-30 21:19:51.995576006,2023-03-30 21:19:51.995576006,2023-03-30 21:19:51.995576006,2023-03-30 21:19:51.995576006,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,38378,502,NIL,769,0,0,1,NIL,16,NIL,NIL,NIL,16,NIL
3, 0,1,11328130265183784546,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,32876,529,2023-03-30 21:19:59.051335925,2023-03-30 21:19:59.051335925,2023-03-30 21:19:59.051335925,2023-03-30 21:19:59.051335925,2023-03-30 21:20:03.721231865,2023-03-30 21:20:03.721231865,2023-03-30 21:20:03.721231865,2023-03-30 21:20:03.721231865,0,0,5,4,6,18796,309,2023-03-30 21:19:59.051335925,2023-03-30 21:19:59.051335925,2023-03-30 21:19:59.051335925,2023-03-30 21:19:59.051335925,2023-03-30 21:20:03.721231865,2023-03-30 21:20:03.721231865,2023-03-30 21:20:03.721231865,2023-03-30 21:20:03.721231865,14080,220,2023-03-30 21:19:59.052287135,2023-03-30 21:19:59.052287135,2023-03-30 21:19:59.052287135,2023-03-30 21:19:59.052287135,2023-03-30 21:20:03.721230293,2023-03-30 21:20:03.721230293,2023-03-30 21:20:03.721230293,2023-03-30 21:20:03.721230293,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,56214,502,NIL,769,0,0,1,NIL,220,NIL,NIL,NIL,220,NIL
4, 0,1,16142708747846402207,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,804,4,2023-03-30 21:20:04.247950380,2023-03-30 21:20:04.247950380,2023-03-30 21:20:04.247950380,2023-03-30 21:20:04.247950380,2023-03-30 21:20:07.264604445,2023-03-30 21:20:07.264604445,2023-03-30 21:20:07.264604445,2023-03-30 21:20:07.264604445,0,0,5,4,17,804,4,2023-03-30 21:20:04.247950380,2023-03-30 21:20:04.247950380,2023-03-30 21:20:04.247950380,2023-03-30 21:20:04.247950380,2023-03-30 21:20:07.264604445,2023-03-30 21:20:07.264604445,2023-03-30 21:20:07.264604445,2023-03-30 21:20:07.264604445,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.250,239.255.255.250,NIL,NIL,NIL,NIL,NIL,40203,1900,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
5, 0,1,13121163287875575100,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2872,46,2023-03-30 21:20:06.738649612,2023-03-30 21:20:06.738649612,2023-03-30 21:20:06.738649612,2023-03-30 21:20:06.738649612,2023-03-30 21:20:17.090301975,2023-03-30 21:20:17.090301975,2023-03-30 21:20:17.090301975,2023-03-30 21:20:17.090301975,0,0,5,4,6,1592,26,2023-03-30 21:20:06.738649612,2023-03-30 21:20:06.738649612,2023-03-30 21:20:06.738649612,2023-03-30 21:20:06.738649612,2023-03-30 21:20:17.090301975,2023-03-30 21:20:17.090301975,2023-03-30 21:20:17.090301975,2023-03-30 21:20:17.090301975,1280,20,2023-03-30 21:20:06.739433133,2023-03-30 21:20:06.739433133,2023-03-30 21:20:06.739433133,2023-03-30 21:20:06.739433133,2023-03-30 21:20:17.046911415,2023-03-30 21:20:17.046911415,2023-03-30 21:20:17.046911415,2023-03-30 21:20:17.046911415,192.168.88.250,192.168.88.254,NIL,NIL,---AP---,---AP---,---AP---,54726,502,NIL,769,0,0,1,NIL,20,NIL,NIL,NIL,20,NIL
6, 0,1,12335775244587589785,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,4312,70,2023-03-30 21:20:03.722170860,2023-03-30 21:20:03.722170860,2023-03-30 21:20:03.722170860,2023-03-30 21:20:03.722170860,2023-03-30 21:20:17.142155702,2023-03-30 21:20:17.142155702,2023-03-30 21:20:17.142155702,2023-03-30 21:20:17.142155702,0,0,5,4,6,2520,42,2023-03-30 21:20:03.722170860,2023-03-30 21:20:03.722170860,2023-03-30 21:20:03.722170860,2023-03-30 21:20:03.722170860,2023-03-30 21:20:17.142155702,2023-03-30 21:20:17.142155702,2023-03-30 21:20:17.142155702,2023-03-30 21:20:17.142155702,1792,28,2023-03-30 21:20:03.723063849,2023-03-30 21:20:03.723063849,2023-03-30 21:20:03.723063849,2023-03-30 21:20:03.723063849,2023-03-30 21:20:17.099907644,2023-03-30 21:20:17.099907644,2023-03-30 21:20:17.099907644,2023-03-30 21:20:17.099907644,192.168.88.250,192.168.88.251,NIL,NIL,---AP---,---AP---,---AP---,38378,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
7, 0,1,11328130265183784546,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,30638,493,2023-03-30 21:20:24.155724227,2023-03-30 21:20:24.155724227,2023-03-30 21:20:24.155724227,2023-03-30 21:20:24.155724227,2023-03-30 21:20:28.492528752,2023-03-30 21:20:28.492528752,2023-03-30 21:20:28.492528752,2023-03-30 21:20:28.492528752,0,0,5,4,6,17518,288,2023-03-30 21:20:24.155724227,2023-03-30 21:20:24.155724227,2023-03-30 21:20:24.155724227,2023-03-30 21:20:24.155724227,2023-03-30 21:20:28.492528752,2023-03-30 21:20:28.492528752,2023-03-30 21:20:28.492528752,2023-03-30 21:20:28.492528752,13120,205,2023-03-30 21:20:24.156656660,2023-03-30 21:20:24.156656660,2023-03-30 21:20:24.156656660,2023-03-30 21:20:24.156656660,2023-03-30 21:20:28.492309691,2023-03-30 21:20:28.492309691,2023-03-30 21:20:28.492309691,2023-03-30 21:20:28.492309691,192.168.88.250,192.168.88.252,NIL,NIL,---AP---,---AP---,---AP---,56214,502,NIL,769,0,0,1,NIL,205,NIL,NIL,NIL,205,NIL
8, 0,1,11768789151576669133,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,6232,19,2023-03-30 21:19:45.899161387,2023-03-30 21:19:45.899161387,2023-03-30 21:19:45.899161387,2023-03-30 21:19:45.899161387,2023-03-30 21:20:45.187577875,2023-03-30 21:20:45.187577875,2023-03-30 21:20:45.187577875,2023-03-30 21:20:45.187577875,0,0,4,4,17,6232,19,2023-03-30 21:19:45.899161387,2023-03-30 21:19:45.899161387,2023-03-30 21:19:45.899161387,2023-03-30 21:19:45.899161387,2023-03-30 21:20:45.187577875,2023-03-30 21:20:45.187577875,2023-03-30 21:20:45.187577875,2023-03-30 21:20:45.187577875,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.0.0.0,255.255.255.255,NIL,NIL,NIL,NIL,NIL,68,67,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
9, 0,1,11704866716408052296,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,2023-03-30 21:19:42.934469051,30274,503,2023-03-30 21:19:51.666260092,2023-03-30 21:19:51.666260092,2023-03-30 21:19:51.666260092,2023-03-30 21:19:51.666260092,2023-03-30 21:20:51.576518939,2023-03-30 21:20:51.576518939,2023-03-30 21:20:51.576518939,2023-03-30 21:20:51.576518939,0,0,4,4,6,18916,322,2023-03-30 21:19:51.666260092,2023-03-30 21:19:51.666260092,2023-03-30 21:19:51.666260092,2023-03-30 21:19:51.666260092,2023-03-30 21:20:51.576518939,2023-03-30 21:20:51.576518939,2023-03-30 21:20:51.576518939,2023-03-30 21:20:51.576518939,11358,181,2023-03-30 21:19:51.667074512,2023-03-30 21:19:51.667074512,2023-03-30 21:19:51.667074512,2023-03-30 21:19:51.667074512,2023-03-30 21:20:51.576277865,2023-03-30 21:20:51.576277865,2023-03-30 21:20:51.576277865,2023-03-30 21:20:51.576277865,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,39780,502,NIL,769,0,0,1,114,68,NIL,NIL,NIL,181,NIL
