EXPORT_COUNTER,ZERO,ONE,CRC,FLOWMON_STARTUP_TIME_SEC,FLOWMON_STARTUP_TIME_MSEC,FLOWMON_STARTUP_TIME_USEC,FLOWMON_STARTUP_TIME_NSEC,BYTES,PACKETS,START_SEC,START_MSEC,START_USEC,START_NSEC,END_SEC,END_MSEC,END_USEC,END_NSEC,INPUT_INTERFACE,QUEUE_ID,FLAG_FLUSH,L3_PROTO,L4_PROTO,BYTES_A,PACKETS_A,START_SEC_A,START_MSEC_A,START_USEC_A,START_NSEC_A,END_SEC_A,END_MSEC_A,END_USEC_A,END_NSEC_A,BYTES_B,PACKETS_B,START_SEC_B,START_MSEC_B,START_USEC_B,START_NSEC_B,END_SEC_B,END_MSEC_B,END_USEC_B,END_NSEC_B,L3_IPV4_SRC,L3_IPV4_DST,L3_IPV6_SRC,L3_IPV6_DST,L4_TCP_FLAGS,L4_TCP_FLAGS_A,L4_TCP_FLAGS_B,L4_PORT_SRC,L4_PORT_DST,L4_ICMP_TYPE_CODE,FLAG_MISC,SAMPLING_RATE,SAMPLING_ALGORITHM,MODBUS_UNIT_ID,MODBUS_READ_REQUESTS,MODBUS_WRITE_REQUESTS,MODBUS_DIAGNOSTIC_REQUESTS,MODBUS_OTHER_REQUESTS,MODBUS_UNDEFINED_REQUESTS,MODBUS_SUCCESS_RESPONSES,MODBUS_ERROR_RESPONSES
0,0,1,10202358029504631872,2023-03-30 21:19:34.017842624,2023-03-30 21:19:34.017842624,2023-03-30 21:19:34.017842624,2023-03-30 21:19:34.017842624,178,3,2023-03-30 21:19:45.755874195,2023-03-30 21:19:45.755874195,2023-03-30 21:19:45.755874195,2023-03-30 21:19:45.755874195,2023-03-30 21:19:45.797657296,2023-03-30 21:19:45.797657296,2023-03-30 21:19:45.797657296,2023-03-30 21:19:45.797657296,0,0,5,4,6,92,2,2023-03-30 21:19:45.755874195,2023-03-30 21:19:45.755874195,2023-03-30 21:19:45.755874195,2023-03-30 21:19:45.755874195,2023-03-30 21:19:45.797657296,2023-03-30 21:19:45.797657296,2023-03-30 21:19:45.797657296,2023-03-30 21:19:45.797657296,50,1,2023-03-30 21:19:45.756796204,2023-03-30 21:19:45.756796204,2023-03-30 21:19:45.756796204,2023-03-30 21:19:45.756796204,2023-03-30 21:19:45.756796204,2023-03-30 21:19:45.756796204,2023-03-30 21:19:45.756796204,2023-03-30 21:19:45.756796204,192.168.88.250,192.168.88.253,NIL,NIL,---AP---,---AP---,---AP---,50427,502,NIL,769,0,0,1,1,NIL,NIL,NIL,NIL,1,NIL
1,0,1,15445526874128570627,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,60,1,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,0,0,5,6,58,48,1,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,2023-03-30 21:19:46.806742858,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,fe80::5068:6e82:cf19:ad52,ff02::2,NIL,NIL,NIL,NIL,NIL,34048,641,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
2,0,1,10202358029504631872,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,156,3,2023-03-30 21:19:58.474669416,2023-03-30 21:19:58.474669416,2023-03-30 21:19:58.474669416,2023-03-30 21:19:58.474669416,2023-03-30 21:19:58.476775727,2023-03-30 21:19:58.476775727,2023-03-30 21:19:58.476775727,2023-03-30 21:19:58.476775727,0,0,5,4,6,80,2,2023-03-30 21:19:58.474669416,2023-03-30 21:19:58.474669416,2023-03-30 21:19:58.474669416,2023-03-30 21:19:58.474669416,2023-03-30 21:19:58.476775727,2023-03-30 21:19:58.476775727,2023-03-30 21:19:58.476775727,2023-03-30 21:19:58.476775727,40,1,2023-03-30 21:19:58.475304159,2023-03-30 21:19:58.475304159,2023-03-30 21:19:58.475304159,2023-03-30 21:19:58.475304159,2023-03-30 21:19:58.475304159,2023-03-30 21:19:58.475304159,2023-03-30 21:19:58.475304159,2023-03-30 21:19:58.475304159,192.168.88.250,192.168.88.253,NIL,NIL,---A---F,---A---F,---A---F,50427,502,NIL,769,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
3,0,1,10706945654817888747,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,4104,66,2023-03-30 21:19:34.147283275,2023-03-30 21:19:34.147283275,2023-03-30 21:19:34.147283275,2023-03-30 21:19:34.147283275,2023-03-30 21:19:58.475787055,2023-03-30 21:19:58.475787055,2023-03-30 21:19:58.475787055,2023-03-30 21:19:58.475787055,0,0,5,4,6,1816,37,2023-03-30 21:19:34.147283275,2023-03-30 21:19:34.147283275,2023-03-30 21:19:34.147283275,2023-03-30 21:19:34.147283275,2023-03-30 21:19:58.475787055,2023-03-30 21:19:58.475787055,2023-03-30 21:19:58.475787055,2023-03-30 21:19:58.475787055,1496,29,2023-03-30 21:19:34.148822053,2023-03-30 21:19:34.148822053,2023-03-30 21:19:34.148822053,2023-03-30 21:19:34.148822053,2023-03-30 21:19:58.475785641,2023-03-30 21:19:58.475785641,2023-03-30 21:19:58.475785641,2023-03-30 21:19:58.475785641,192.168.88.250,192.168.88.254,NIL,NIL,---AP--F,---AP--F,---AP--F,50428,502,NIL,769,0,0,1,NIL,28,NIL,NIL,NIL,28,NIL
4,0,1,15047551283258200322,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,16574,271,2023-03-30 21:19:35.162865077,2023-03-30 21:19:35.162865077,2023-03-30 21:19:35.162865077,2023-03-30 21:19:35.162865077,2023-03-30 21:19:59.582974897,2023-03-30 21:19:59.582974897,2023-03-30 21:19:59.582974897,2023-03-30 21:19:59.582974897,0,0,7,4,6,6612,132,2023-03-30 21:19:35.162865077,2023-03-30 21:19:35.162865077,2023-03-30 21:19:35.162865077,2023-03-30 21:19:35.162865077,2023-03-30 21:19:59.582456708,2023-03-30 21:19:59.582456708,2023-03-30 21:19:59.582456708,2023-03-30 21:19:59.582456708,6710,139,2023-03-30 21:19:35.163359458,2023-03-30 21:19:35.163359458,2023-03-30 21:19:35.163359458,2023-03-30 21:19:35.163359458,2023-03-30 21:19:59.582974897,2023-03-30 21:19:59.582974897,2023-03-30 21:19:59.582974897,2023-03-30 21:19:59.582974897,192.168.88.250,192.168.88.252,NIL,NIL,---APR--,---APR--,---APR--,50426,502,NIL,769,0,0,1,1,110,NIL,NIL,NIL,81,NIL
5,0,1,17732036128857544588,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,149,1,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,0,0,7,4,17,137,1,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,2023-03-30 21:20:09.797267815,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.1,255.255.255.255,NIL,NIL,NIL,NIL,NIL,5678,5678,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
6,0,1,17087967661136001963,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2023-03-30 21:19:34.099272469,2072,37,2023-03-30 21:19:34.588206393,2023-03-30 21:19:34.588206393,2023-03-30 21:19:34.588206393,2023-03-30 21:19:34.588206393,2023-03-30 21:20:10.607168402,2023-03-30 21:20:10.607168402,2023-03-30 21:20:10.607168402,2023-03-30 21:20:10.607168402,0,0,7,4,17,1628,37,2023-03-30 21:19:34.588206393,2023-03-30 21:19:34.588206393,2023-03-30 21:19:34.588206393,2023-03-30 21:19:34.588206393,2023-03-30 21:20:10.607168402,2023-03-30 21:20:10.607168402,2023-03-30 21:20:10.607168402,2023-03-30 21:20:10.607168402,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,192.168.88.250,255.255.255.255,NIL,NIL,NIL,NIL,NIL,49667,21543,NIL,256,0,0,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
